:greetings
Hello,hello
:names
Judy,judy
Joey,joey
:happy
What a lovely day it is today!,happy1
Give us a kiss!,happy2
Oh I do like to be beside the seaside!'happy3
That's the way to do it!,happy4
(humming),happy5
:annoyed
Don't you talk to me like that!,annoyed1
You be quiet, or you're going to regret it!,annoyed2
Your stupid face is making me angry!,annoyed3
Shut up!,annoyed4
Stop annoying me, you silly sausage!,annoyed5
:angry
Hitty hitty hitty!,angry1
Stay still when I'm hitting you!,angry2
Die!,angry3
(laughing),angry4
Take that!,angry5
